14 de enero 2021,11,5,"0,6 mm",Llovizna,13 Km/h,A Coruña
14 de enero 2020,12,9,"13,9 mm",Lluvia moderada,34 Km/h,A Coruña
14 de enero 2019,12,9,"0,3 mm",Nublado,13 Km/h,A Coruña
15 de enero 2023,11,8,"7,2 mm",Ligeras precipitaciones,34 Km/h,A Coruña
15 de enero 2022,12,4,0 mm,Despejado,12 Km/h,A Coruña
15 de enero 2021,12,7,0 mm,Parcialmente nublado,9 Km/h,A Coruña
15 de enero 2020,11,9,"29,5 mm",Fuertes lluvias,32 Km/h,A Coruña
15 de enero 2019,14,8,0 mm,Cielo cubierto,10 Km/h,A Coruña
16 de enero 2022,14,7,0 mm,Nublado,18 Km/h,A Coruña
16 de enero 2021,13,6,0 mm,Parcialmente nublado,11 Km/h,A Coruña
16 de enero 2020,13,10,"55,2 mm",Fuertes lluvias,29 Km/h,A Coruña
16 de enero 2019,12,8,"4,7 mm",Ligeras precipitaciones,15 Km/h,A Coruña
17 de enero 2023,9,8,"4,1 mm",Ligeras precipitaciones,50 Km/h,A Coruña
17 de enero 2022,15,8,0 mm,Parcialmente nublado,10 Km/h,A Coruña
17 de enero 2021,14,9,0 mm,Parcialmente nublado,10 Km/h,A Coruña
17 de enero 2020,10,8,"6,3 mm",Periodos de lluvia moderada,27 Km/h,A Coruña
17 de enero 2019,10,8,"3,1 mm",Ligeras precipitaciones,14 Km/h,A Coruña
18 de enero 2023,9,6,"7,4 mm",Intervalos de lluvias ligeras con tomenta en la región,47 Km/h,A Coruña
18 de enero 2022,13,7,0 mm,Parcialmente nublado,11 Km/h,A Coruña
18 de enero 2021,14,9,0 mm,Parcialmente nublado,9 Km/h,A Coruña
18 de enero 2020,12,9,"6,6 mm",Ligeras precipitaciones,24 Km/h,A Coruña
18 de enero 2019,10,7,"5,3 mm",Ligeras precipitaciones,23 Km/h,A Coruña
19 de enero 2023,12,7,"6,5 mm",Ligeras precipitaciones,36 Km/h,A Coruña
19 de enero 2022,12,6,0 mm,Despejado,10 Km/h,A Coruña
