id,createdTime,fields.Temp Max,fields.Viento,fields.Lluvia,fields.Tiempo,fields.Temp Min,fields.Ubicacion,fields.Fecha
recJCObFVFzh080I1,2024-01-10T18:15:45.000Z,14,25,0.3,Parcialmente nublado,11,A Coruña,29 de noviembre 2019
recJDFrsstG2PyF9T,2024-01-10T18:13:00.000Z,13,10,0.7,Lluvia moderada a intervalos,9,A Coruña,25 de marzo 2021
recJDeHR3YM8jaVWn,2024-01-10T18:06:08.000Z,32,11,0.0,Despejado,22,Málaga,10 de julio 2022
recJDytW4bZOI7CjI,2024-01-10T18:04:23.000Z,16,9,0.0,Despejado,9,Málaga,3 de febrero 2023
recJE3PXXVzF2knPX,2024-01-10T18:05:55.000Z,26,18,0.0,Parcialmente nublado,18,Málaga,20 de junio 2021
recJEAzzBmotxpqsl,2024-01-10T18:09:30.000Z,28,15,0.1,Despejado,15,Madrid,11 de mayo 2019
recJFDfoOZ1KyuWpY,2024-01-10T18:14:50.000Z,28,9,0.7,Lluvia moderada a intervalos,18,A Coruña,6 de septiembre 2021
recJFRl8hbhlW2wfG,2024-01-10T18:04:24.000Z,17,8,0.0,Parcialmente nublado,13,Málaga,4 de febrero 2021
recJFzv32ToY8eNCW,2024-01-10T18:12:32.000Z,14,14,0.0,Nublado,8,A Coruña,12 de febrero 2022
recJG6Z9Md8wssLP7,2024-01-10T18:05:09.000Z,18,9,0.0,Parcialmente nublado,13,Málaga,12 de abril 2020
recJHnTExmNth9e2G,2024-01-10T18:14:43.000Z,25,13,0.0,Parcialmente nublado,17,A Coruña,27 de agosto 2021
recJIGOyB6GFlcRTU,2024-01-10T18:04:24.000Z,17,10,0.0,Parcialmente nublado,12,Málaga,6 de febrero 2022
recJIvMG1IXKMdmVZ,2024-01-10T18:04:17.000Z,15,23,0.0,Despejado,6,Málaga,27 de enero 2023
recJJOvKoeFQ4pXIW,2024-01-10T18:04:12.000Z,12,34,0.0,Cielo cubierto,9,Málaga,19 de enero 2020
recJJqAQ8c0hu1cey,2024-01-10T18:08:06.000Z,16,4,0.0,Despejado,7,Madrid,3 de enero 2022
recJLMea5F0bS4XBQ,2024-01-10T18:14:26.000Z,19,20,0.1,Neblina,16,A Coruña,1 de agosto 2020
recJM8MFYdHulYQqo,2024-01-10T18:08:14.000Z,11,4,0.0,Despejado,1,Madrid,16 de enero 2022
recJM8q8Nj3Ovr7mP,2024-01-10T18:13:08.000Z,19,10,0.0,Cielo cubierto,8,A Coruña,7 de abril 2023
recJO5R4MnNPzcT6F,2024-01-10T18:13:18.000Z,17,20,6.3,Ligeras lluvias,10,A Coruña,22 de abril 2019
recJP2PLSiiH7P2J4,2024-01-10T18:14:18.000Z,21,9,0.1,Lluvia moderada a intervalos,16,A Coruña,20 de julio 2021
recJPZ0c84b9OCHTF,2024-01-10T18:15:50.000Z,9,39,5.4,Ligeras precipitaciones,7,A Coruña,8 de diciembre 2021
recJQS5AfstZvUAPz,2024-01-10T18:14:56.000Z,22,18,0.1,Nublado,17,A Coruña,15 de septiembre 2022
recJQZZyGKd1iT5I3,2024-01-10T18:08:56.000Z,18,17,0.0,Parcialmente nublado,10,Madrid,19 de marzo 2020
